Zacian V (Shiny),,swshp,0,1,0
Zamazenta V (Shiny),,swshp,0,1,0
Morpeko V-Union (SWSH287-290) (Set of 4),,swshp,0,1,0
Horror P Energy,,swsh2,1,0,0
Arceus V (Full Art),,swsh9,0,1,0
Barry (Full Art),,swsh9,0,1,0
Melmetal V (Full Art),,pgo,0,1,0
Friends in Sinnoh (Full Art),,swsh12pt5,0,2,0
Growlithe,,svp,0,1,0
Deoxys (Delta Species,,ex13,0,1,0
Darkrai & Cresselia Legend (Top),,hgss4,0,1,0
Palkia & Dialga Legend (Top),,hgss4,0,1,0
Arceus (AR4),,pl4,0,1,0
Saguaro,255,sv2,0,1,0
Darkness Energy (Special),,hgss3,1,0,0
