Have,Name,Game,Set,Low,Mid,High
1,ZW - Unicorn Spear - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.07,$0.25,"$10,000.00"
1,Old Vindictive Magician - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.05,$0.41,$2.99
1,Marauding Captain - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.17,$0.40,$1.75
1,Swords of Burning Light - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.35,$0.50,$4.09
1,Blustering Winds - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.07,$0.25,"$10,000.00"
1,Wonder Wand - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.20,$0.41,"$10,000.00"
1,Double or Nothing! - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.50,$0.77,$1.99
1,Ego Boost - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.07,$0.25,$1.15
1,Gagagarevenge - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.22,$0.43,$2.99
1,Xyz Unit - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.14,$0.36,$1.75
1,The A. Forces - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.10,$0.33,$1.25
1,Reinforcement of the Army - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.19,$0.40,$1.22
1,The Warrior Returning Alive - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.10,$0.30,$1.11
1,Puzzle Reborn - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.05,$0.25,$1.06
1,Gagagashield - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.11,$0.30,$1.75
1,Copy Knight - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.04,$0.25,$1.05
1,Impenetrable Attack - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.15,$0.25,"$10,000.00"
1,Utopian Aura - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.04,$0.25,$1.70
1,Xyz Effect - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.08,$0.25,$1.70
1,Shadow Spell - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.05,$0.25,"$10,000.00"
1,Dust Tornado - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.25,$0.55,$1.75
1,Call of the Haunted - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.15,$0.30,$1.75
1,Dark Bribe - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.45,$1.00,"$10,000.00"
1,Number 39: Utopia - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.01,$0.61,$3.00
1,Number C39: Utopia Ray - [1st Edition],YuGiOh,Super Starter: V for Victory,$0.12,$0.50,$4.99
1,Number C39: Utopia Ray V - [1st Edition],YuGiOh,Super Starter: V for Victory Power-Up Pack,$0.19,$0.58,$4.65
1,Rank-Up-Magic Limited Barian's Force - [1st Edition],YuGiOh,Super Starter: V for Victory Power-Up Pack,$0.12,$0.45,$25.00
1,Ganbara Lancer - [1st Edition],YuGiOh,Super Starter: V for Victory Power-Up Pack,$0.09,$0.25,$5.19
2,Bite Bug - [1st Edition],YuGiOh,Super Starter: V for Victory Power-Up Pack,$0.10,$0.25,$5.00
1,Gentlemander - [1st Edition],YuGiOh,Super Starter: V for Victory Power-Up Pack,$0.10,$0.25,"$10,000.00"
1,Grenosaurus - [1st Edition],YuGiOh,Super Starter: V for Victory Power-Up Pack,$0.14,$0.25,"$10,000.00"
1,Number 6: Chronomaly Atlandis - [1st Edition],YuGiOh,Super Starter: V for Victory Power-Up Pack,$0.99,$1.76,$5.00
1,Magic Cylinder - [1st Edition],YuGiOh,Super Starter: V for Victory Power-Up Pack,$0.50,$0.94,$5.00
1,Dark Magician of Chaos - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.49,$0.99,"$10,000.00"
1,Treeborn Frog - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$1.25,$1.74,$5.49
1,Splendid Venus - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.10,$0.25,$1.00
