,Qty,Min,Avg,High
Have,5317,"$1,260.12","$2,684.49","$632,687.95"
Have,Name,Game,Set,Low,Mid,High
2,Eradicator Epidemic Virus - [1st Edition],YuGiOh,Structure Deck: Master of Pendulum,$0.62,$1.89,$11.99
1,Fennekin - 3/12 - [Holofoil],Pokemon,McDonald's Promos 2014,$1.77,$3.49,$7.50
1,Froakie - 4/12 - [Holofoil],Pokemon,McDonald's Promos 2014,$2.83,$6.39,$13.76
1,Honedge - 7/12 - [Holofoil],Pokemon,McDonald's Promos 2014,$3.98,$5.14,$10.12
1,Lotad - 2/12 - [Holofoil],Pokemon,McDonald's Promos 2015,$1.93,$4.99,$9.99
2,Pikachu - 6/12 - [Holofoil],Pokemon,McDonald's Promos 2015,$6.89,$24.99,$45.99
1,Mudkip - 5/12 - [Holofoil],Pokemon,McDonald's Promos 2015,$4.14,$8.00,$9.14
1,Staryu - 4/12 - [Holofoil],Pokemon,McDonald's Promos 2015,$1.89,$4.35,$25.00
1,Steel Cavalry of Dinon (BOSH-ENSP1) - [Limited],YuGiOh,Breakers of Shadow,$0.10,$0.27,$2.00
1,Performapal Rain Goat - [1st Edition],YuGiOh,Breakers of Shadow,$0.04,$0.25,$1.00
1,Rattata,Pokemon,XY - BREAKpoint,$0.01,$0.18,$2.10
1,Gyarados Spirit Link,Pokemon,XY - BREAKpoint,$0.02,$0.24,$1.42
1,Potion,Pokemon,XY - BREAKpoint,$0.01,$0.20,$1.12
2,Scizor Spirit Link,Pokemon,XY - BREAKpoint,$0.03,$0.24,$1.12
2,Tierno,Pokemon,XY - BREAKpoint,$0.01,$0.18,$1.00
1,Token: Emperor of Darkness Structure Deck - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.25,$0.74,$4.00
1,Token: Emperor of Darkness Structure Deck - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.19,$0.39,$1.45
1,Ehther the Heavenly Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.70,$1.12,$9.98
