Have,Want,Trade,Name,Set,Low,Mid,High
1,0,0,Tandemaus - 159/198,SV01: Scarlet & Violet Base Set,$0.01,$0.08,$2.95
4,0,0,Tangela,Crown Zenith,$0.01,$0.05,$1.03
1,0,0,Tangrowth,SM - Cosmic Eclipse,$0.02,$0.18,$1.33
1,0,0,Tarountula - 016/198,SV01: Scarlet & Violet Base Set,$0.01,$0.08,$2.95
3,0,0,Tadbulb - 078/193,SV02: Paldea Evolved,$0.01,$0.07,$2.95
2,0,0,Swablu (Delta Species),Dragon Frontiers,$0.20,$0.33,$1.54
3,0,0,Swinub,SWSH10: Astral Radiance,$0.01,$0.05,$999.00
1,0,0,Swinub - [Reverse Holofoil],SWSH10: Astral Radiance,$0.03,$0.15,$2.00
2,0,0,Swirlix,XY Base Set,$0.03,$0.22,$2.98
1,0,0,Switch,Black and White,$0.01,$0.25,$1.28
2,0,0,Switch,SWSH01: Sword & Shield Base Set,$0.01,$0.13,$1.54
1,0,0,Sudowoodo - [Unlimited],Neo Genesis,$0.29,$0.51,$2.00
1,0,0,Suicune V - [Holofoil],Crown Zenith: Galarian Gallery,$17.00,$22.15,$66.00
1,0,0,Sunkern,Crown Zenith,$0.01,$0.05,$5.00
1,0,0,Struggle Gloves,SWSH03: Darkness Ablaze,$0.01,$0.10,$1.41
4,0,0,Stunfisk,SM - Lost Thunder,$0.03,$0.15,$1.99
1,0,0,Stunky,Diamond and Pearl,$0.09,$0.22,$6.62
1,0,0,Steenee,SWSH06: Chilling Reign,$0.01,$0.10,$2.00
1,0,0,Staryu - 4/12 - [Holofoil],McDonald's Promos 2015,$1.86,$2.23,$25.00
1,0,0,Starly - 148/198,SV01: Scarlet & Violet Base Set,$0.01,$0.05,$5.00
2,0,0,Starmie,Base Set 2,$0.05,$0.46,$4.80
1,0,0,Starmie - [Reverse Holofoil],Next Destinies,$0.27,$0.44,$3.48
1,0,0,Starmie - [Holofoil],SWSH08: Fusion Strike,$0.05,$0.19,$9.95
1,0,0,Starmie - [Reverse Holofoil],SWSH08: Fusion Strike,$0.05,$0.26,$4.24
2,0,0,Spoink,Triumphant,$0.15,$0.25,$2.19
